date,title,location,salary,company_industry,education,prior_experience,bonus,stocks,total_comp,additional_benefits,tenure_length_period,tenure_length_period_units,survey_year
2019-12-09,Senior Data Scientist,"San Francisco Bay, California, USA",475k base,Tech (already easy enough to identify me and anyone that knows typical pay structures in the bay can guess the company,NA,NA,es:** 5% of base in optionsHad two other offers this year.  Total comp were comparable (after negotiation as the first offers were both 25% under current comp with the promise that,5% of base in optionsHad two other offers this year,"were comparable (after negotiation as the first offers were both 25% under current comp with the promise that 'stock will likely be worth more than cash by EoY'), but they had a much higher fraction of comp from RSUs",FALSE,4,years,2019
2019-12-09,Senior data scientist (mostly product analytics,"Midwestern United States, USA","127,000",tech,M.A. economics,4 years   * 2.5 years product analytics   * 1.5 years machine learning   * a year of research during M.A. if you want to count it,"22,000* **Other benefits**: worth mentioning that good health insurance is paid for 100","I wanna say $24,000 RSUs and $19,000 cash","170,000",FALSE,1.5,years,2019
2019-12-09,Data Analyst,Philippines,USD 15000 per year,Portofolio Analytics and Indices,BS Applied Mathematics,Internship at a local bank,none,none,USD 15000 per year,FALSE,0.5,years,2019
2019-12-09,Senior Data Scientist,NA,"165,000",Ad Tech,"PhD, CS",5 years,n/a,quarterly bonuses,"gt;$165,000I had a long commute before starting this job so fully remote is real nice",FALSE,1,months,2019
2019-12-09,Data Scientist,Netherlands,"59,000 EUR",Travel,Mechanical engineering,4 years (2 startups and 1 big travel software company,n/a,NA,NA,FALSE,2,years,2019
2019-12-09,"Algorithm Developer, mostly do modeling work for cyberphysical systems","Austin, TX, USA",160000,Oil/Gas,"MS CompE, BS CS",DoD work,,"33k bonus, $100K new RSUs/year",300k**Note that while the,FALSE,3,years,2019
2019-12-09,Senior Data Analyst,NA,NA,Tech,PhD,NA,NA,NA,increased from ~$110K over that time,FALSE,4,months,2019
2019-12-09,Senior Data Scientist,"Frankfurt, Germany",85k,Banking,MS (Finance/Math,NA,NA,10% Bonus    Relocation/Sign-On Bonus: none,"90-95k    Benefits: 30 day holidays/year (plus federal/local holidays), 38 hour week (strictly enforced), plus all standard benefits you get in Germany (health insurance, pension etc).That salary is after a few job changes and seems to max out what you can get unless you're manager",FALSE,1,years,2019
2019-12-09,None* **Tenure length:** 2 Weeks* **Location:** My Home* **Salary:** 0 * **Company/Industry:** N/A* **Education:** Masters* **Prior Experience:**   * **$Internship**   * **$Coop*** **Relocation/Signing Bonus:** 0* **Stock and/or recurring bonuses:** 0* **Total comp:** 0ok but really before getting canned a few weeks ago* **Title:** Data Analyst,"2604 Washington Rd, Augusta, GA 30904, USA",0 * **Company/Industry:** N/A* **Education:** Masters* **Prior Experience:**   * **$Internship**   * **$Coop*** **Relocation/Signing Bonus:** 0* **Stock and/or recurring bonuses:** 0* **Total comp:** 0ok but really before getting canned a few weeks ago* **Title:** Data Analyst* **Tenure length:** 18 Mo* **Location:** Boston MA* **Salary:** 90k,N/A* **Education:** Masters* **Prior Experience:**   * **$Internship**   * **$Coop*** **Relocation/Signing Bonus:** 0* **Stock and/or recurring bonuses:** 0* **Total comp:** 0ok but really before getting canned a few weeks ago* **Title:** Data Analyst* **Tenure length:** 18 Mo* **Location:** Boston MA* **Salary:** 90k* **Company/Industry:** Supply Chain - Transportation,Masters* **Prior Experience:**   * **$Internship**   * **$Coop*** **Relocation/Signing Bonus:** 0* **Stock and/or recurring bonuses:** 0* **Total comp:** 0ok but really before getting canned a few weeks ago* **Title:** Data Analyst* **Tenure length:** 18 Mo* **Location:** Boston MA* **Salary:** 90k* **Company/Industry:** Supply Chain - Transportation* **Education:** Masters in Data Analytics,"Internship**   * **$Coop*** **Relocation/Signing Bonus:** 0* **Stock and/or recurring bonuses:** 0* **Total comp:** 0ok but really before getting canned a few weeks ago* **Title:** Data Analyst* **Tenure length:** 18 Mo* **Location:** Boston MA* **Salary:** 90k* **Company/Industry:** Supply Chain - Transportation* **Education:** Masters in Data Analytics* **Prior Experience:**    * Supply Chain Ops work, not coded as analytics",2k,0,90k,FALSE,,months,2019
2019-12-09,Biostatistician/Data Scientist,"Fort Lauderdale, FL, USA",52.5k,Clinical Research Organization (Pharma,B.S. Statistics (Graduated April 19,"7 years contracting data management services Internship: Short Real Estate, Finance, Légal Internships",NoneComp: Health Insurance / 401K,Bi-annual performance-based 5% raise,"52.5k at start with potential for 58.9k after a year- (expecting my first raise in January)I was hired as a statistician - ended up functioning as the sole data scientist. My roles span from statistical design of clinical studies to programming SAS, R, Python, and SQL programs- as well as utilizing various softwares to deploy machine learning/AI models and perform financial analytics",FALSE,6,months,2019
2019-12-09,Data Scientist,"Phoenix, AZ, USA",90k base,Insurance,MS Analytics,Started at this company as an intern out of undergrad and converted to full time. Paid for part time masters,N/A,Company Performance Bonus ~10% annual. $12k Retention bonuses annual,111k,FALSE,2.5,years,2019
2019-12-09,Data Scientist,"Houston, TX, USA","136,000",Oil and Gas,Masters in Applied Statistics,2yrs of actuarial experience   * **$Internship**   * **$Coop,,15-30% bonus,"163,000",FALSE,2,years,2019
2019-12-09,Data Scientist,"Midwestern United States, USA","83,000",Fortune 100,MS Statistics,None**   * **$Internship Yes,"5,000","5,000-12,000","93,000-100,000",FALSE,1,years,2019
2019-12-09,Data Scientist,"San Francisco Bay Area, CA, USA",155k,FB (IC4,PhD in engineering,1 year non-tech company @ ~$110k comp- No internship or coop,es: $50k,and $15k bonus,220k,FALSE,1.5,years,2019
2019-12-09,Data Scientist,"Irving, TX, USA",130k,Entertainment,"MSc Psychology, MSc Data Science",15 yrs,"None, local",20k,150k,FALSE,2.5,years,2019
2019-12-09,Data Scientist,"New York, NY, USA",165k,"HealthTech, reinforcement learning",Bachelor's,2 yoe in RL,"None, same city","Performance based bonus, probably won't hit",165k,FALSE,1,years,2019
2019-12-09,Senior Data Scientist,"Los Angeles, CA, USA",160K,Tech,BS Engineering/ MS in DS,2 Years DS Consulting at Big Firm   * 1 Year Senior DS in Entertainment,es:** 7K,NA,NA,FALSE,1,months,2019
2019-12-09,Data Scientist,"St. Louis, MO, USA","95,000",Healthcare,Masters,Nothing relevant,N/A,Zilch,"95,000",FALSE,3,years,2019
2019-12-09,Data Scientist,"Seattle, WA, USA","118,000",Big tech company,"BS in CS, Data science. Completing MS in CS",3 data science internships,30k,"130k / 4 years, 0-20% salary bonus per year",165kCan't wait to finish school and get out there,FALSE,NA,unknown,2019
2019-12-09,Senior Business Intelligence Analyst,"Riverside County, CA, USA","88,000",Beverage/CPG,"BS Pure Mathematics, MS Applied Mathematics",Internship:** Aviation Analyst   * **Data/BI Analyst:** 3 years,es:** Some,program I haven't looked into. 10% annual bonus,"100,000",FALSE,4,months,2019
2019-12-09,senior data scientist,"Colorado, USA","151,000",internet/web tech,MS,"1 year, also in web tech  - $Internship: yes",and yearly,,"250,000",FALSE,NA,unknown,2019
2019-12-09,"Data Scientist*** **Tenure length: 1.5 years*** **Location: San Francisco*** **Salary: 187k*** **Company/Industry: FB*** **Education: PhD (unrelated to DS--structural bio and neuropharmacology)*** **Prior Experience: 3 years in Bay Area tech companies*** **Internship: Insight DS*** **Relocation/Signing Bonus: 50k signing*** **Stock and/or recurring bonuses: 90k RSU, 30k bonus (15%)*** **Total comp: 305k**&amp;#x200B;For those interested, my salary historyFirst DS job:* **Title: Data Scientist*** **Tenure length: 1.5 years*** **Location: Bay Area*** **Salary: 120k*** **Company/Industry: DS consulting startup*** **Education: PhD*** **Prior Experience: none*** **Internship: Insight DS*** **Relocation/Signing Bonus: 0*** **Stock and/or recurring bonuses: some options I didn't exercise and bonus that never paid because the company wasn't doing well*** **Total comp: 120k**Next job:* **Title: Data Scientist (promo to Senior after 6 months then Lead after 12 months",NA,"187k*** **Company/Industry: FB*** **Education: PhD (unrelated to DS--structural bio and neuropharmacology)*** **Prior Experience: 3 years in Bay Area tech companies*** **Internship: Insight DS*** **Relocation/Signing Bonus: 50k signing*** **Stock and/or recurring bonuses: 90k RSU, 30k bonus (15%)*** **Total comp: 305k**&amp;#x200B;For those interested, my salary historyFirst DS job:* **Title: Data Scientist*** **Tenure length: 1.5 years*** **Location: Bay Area*** **Salary: 120k*** **Company/Industry: DS consulting startup*** **Education: PhD*** **Prior Experience: none*** **Internship: Insight DS*** **Relocation/Signing Bonus: 0*** **Stock and/or recurring bonuses: some options I didn't exercise and bonus that never paid because the company wasn't doing well*** **Total comp: 120k**Next job:* **Title: Data Scientist (promo to Senior after 6 months then Lead after 12 months)*** **Tenure length: 1.5 years*** **Location: San Francisco*** **Salary: 195k to start, 210k after 6 months","FB*** **Education: PhD (unrelated to DS--structural bio and neuropharmacology)*** **Prior Experience: 3 years in Bay Area tech companies*** **Internship: Insight DS*** **Relocation/Signing Bonus: 50k signing*** **Stock and/or recurring bonuses: 90k RSU, 30k bonus (15%)*** **Total comp: 305k**&amp;#x200B;For those interested, my salary historyFirst DS job:* **Title: Data Scientist*** **Tenure length: 1.5 years*** **Location: Bay Area*** **Salary: 120k*** **Company/Industry: DS consulting startup*** **Education: PhD*** **Prior Experience: none*** **Internship: Insight DS*** **Relocation/Signing Bonus: 0*** **Stock and/or recurring bonuses: some options I didn't exercise and bonus that never paid because the company wasn't doing well*** **Total comp: 120k**Next job:* **Title: Data Scientist (promo to Senior after 6 months then Lead after 12 months)*** **Tenure length: 1.5 years*** **Location: San Francisco*** **Salary: 195k to start, 210k after 6 months*** **Company/Industry: Tech/Entertainment","PhD (unrelated to DS--structural bio and neuropharmacology)*** **Prior Experience: 3 years in Bay Area tech companies*** **Internship: Insight DS*** **Relocation/Signing Bonus: 50k signing*** **Stock and/or recurring bonuses: 90k RSU, 30k bonus (15%)*** **Total comp: 305k**&amp;#x200B;For those interested, my salary historyFirst DS job:* **Title: Data Scientist*** **Tenure length: 1.5 years*** **Location: Bay Area*** **Salary: 120k*** **Company/Industry: DS consulting startup*** **Education: PhD*** **Prior Experience: none*** **Internship: Insight DS*** **Relocation/Signing Bonus: 0*** **Stock and/or recurring bonuses: some options I didn't exercise and bonus that never paid because the company wasn't doing well*** **Total comp: 120k**Next job:* **Title: Data Scientist (promo to Senior after 6 months then Lead after 12 months)*** **Tenure length: 1.5 years*** **Location: San Francisco*** **Salary: 195k to start, 210k after 6 months*** **Company/Industry: Tech/Entertainment*** **Education: PhD","3 years in Bay Area tech companies*** **Internship: Insight DS*** **Relocation/Signing Bonus: 50k signing*** **Stock and/or recurring bonuses: 90k RSU, 30k bonus (15%)*** **Total comp: 305k**&amp;#x200B;For those interested, my salary historyFirst DS job:* **Title: Data Scientist*** **Tenure length: 1.5 years*** **Location: Bay Area*** **Salary: 120k*** **Company/Industry: DS consulting startup*** **Education: PhD*** **Prior Experience: none*** **Internship: Insight DS*** **Relocation/Signing Bonus: 0*** **Stock and/or recurring bonuses: some options I didn't exercise and bonus that never paid because the company wasn't doing well*** **Total comp: 120k**Next job:* **Title: Data Scientist (promo to Senior after 6 months then Lead after 12 months)*** **Tenure length: 1.5 years*** **Location: San Francisco*** **Salary: 195k to start, 210k after 6 months*** **Company/Industry: Tech/Entertainment*** **Education: PhD*** **Prior Experience: 1.5 years*** **Internship: Insight DS",0,40k (20,240k,FALSE,1.5,years,2019
2019-12-09,Director of Data Science,"Houston, TX, USA",200k,"Small company, very niche segment in the entertainment space",PhD in Engineering,"CPG, Distribution, Software.**   * **$Internship: None**   * **$Coop: None","None, was local","30% recurring bonus, given small share of company which only has any value if we sell the company",260K,FALSE,6,years,2019
2019-12-09,NA,"Florida, USA",NA,NA,NA,NA,NA,NA,174k,FALSE,NA,unknown,2019
2019-12-09,Jr. Data Scientist,Central Europe,800-900/mo,Big 4,"BS in Finance, finishing Msc in Financial Engineering",NA,NA,np.nan,800-900/mo,FALSE,1.25,years,2019
2019-12-09,Director,"San Francisco, CA, USA",185k,Financial Services,Masters,Summer Internship (2012): $45 per hour,Do not remember,RSUs $100k per year / Year-end Bonus $70k per year,355k,FALSE,5,years,2019
2019-12-09,Data Scientist II,NA,NA,NA,NA,NA,NA,"50 RSU over 4 years, 2 RSU in year 1.* TC: ~170k* Benefits; pretty meh* Company: FAANG* Location: SeattleDecided I wanted to change things up a bit and optimize WLB so I got a new offer.For 2020:* Title: Director, Data Science* Base: 160k* Signon: 5k* Bonus (in 2021): 24k to 48k* Benefits: decent, but good PTO and great WLB* Industry: Insurance* Location: Seattle","Total YOE: 7 (2ish in product management, 5ish as a data scientist)Degree: MS Econ",FALSE,1,years,2019
2019-12-09,Senior Data Analyst,"Seattle, WA, USA",86k,SaaS (for academia,BA,"year in this role, 3 years as analyst at this company, part time analyst role throughout college $Internship n/a$Coop n/a",none/none,"9k+ bonus per year, plus product performance incentives","95kStarted at this role as an analyst 4 years ago at just under $60k, promoted to senior analyst and pay raised to ~$95k in intervening years.Telecommute role for a national company; pay isn't location-adjusted",FALSE,4,years,2019
2019-12-09,Senior Systems Analyst,"Boston, MA, USA",95k,Finance,"Undergrad math, MS applied statistics","grad school projects, internship here, part-time here while finishing school     * **Internship -**  at the same company",N/A,20% annual bonus,115k,FALSE,6,months,2019
2019-12-09,Senior Applied Scientist,"West Coast, USA",160K base,Big Tech,PhD,TT in Academia,es: 300k    Total comp: 460-500kMy total comp is significantly higher than my target comp due to company,300k    Total comp: 460-500kMy,is significantly higher than my target comp due to company stock doing very well in the past 3 years.  My target comp is about 350,FALSE,3,years,2019
2019-12-09,Senior Data Scientist,"Denver, CO, USA","130,000",,PhD,3 years at 2 companies as a DS (90k -&gt; 105k,,stuff,"130-143,000",FALSE,8,months,2019
2019-12-09,Data Scientist,"Washington, DC, USA","135,000",Consulting/federal contracting,"BA in Econ, 3-month data science boot camp 2 years ago","1.5 years in similar role at other contracting firm, 6 years as analyst in various roles before that","7,000",15% potential (but unlikely,"142,000-$160,000Build applications for government and some corporate uses, largely either large-scale prototypes or system migrations. More programming and wrangling than true model development because its hard to sell these types of clients on real data science projects",FALSE,1,years,2019
2019-12-09,Marketing Coordinator,"Ohio, USA",30k,Multifamily Housing,BFA Ballet and BS Political Science,NA,NA,None,30k,FALSE,5,years,2019
2019-12-09,Data Analyst,"Midwest City, OK, USA",NA,NA,STEM (not engineering or comp sci,NA,"0**Benefits**: 17 days PTO, 5 sick days, 12 paid holidays, 401(k) matching of 3-7% vesting period of 3-5 years (not being exact for ambiguity",10% of salary,"I mostly work with Excel everyday; very rarely do I ever use SQL and ever do I use python or R. Some projects require Tableau which I work on as I've got a good grasp on it vs. other coworkers. Average work week is 60-70 hours (has gone up over time). I also do a lot of client and internal communication and project managing - at times it definitely feels like I am doing the job of someone two/three levels higher than myself. I'm kind of sick of this job though as I feel like I've wasted my time in school if all I'm doing is Excel work everyday; also, I am not a fan of the industry that this consulting work is in",FALSE,1.5,years,2019
2019-12-09,Data Scientist,"Austin, TX, USA",65k,Large automaker,B.S. Comp Sci,Summer internship at same company   * Previous internship at small tech startup,"not sure, but I know others who also moved from my area and they report about $12k",recurring 10% annual raise for 3 yrs,85k,FALSE,,unknown,2019
2019-12-09,Data Scientist,United States,"100,400",Finance (just shy of 5k employees,masters in statistics,None,None,7200,"107,600Salary progression:55k, 68k, 88k, 107kI am unsure if the high progression is catch up, because of project performance (has been very high), or because of luck+relationships",FALSE,4,years,2019
2019-12-09,Data Scientist,"San Francisco, CA, USA",120K,Tech,MS,0 full time experience (This is my first job ever)   * **$Internship:** 5 month DS internship at different company (non-FAANG,5K,Nothing ($0,"125KI know people will say I am getting underpaid, but I am quite happy with this pay. I love the company and its people. I also really don't think I deserve this much money as a new grad, so I have no complaints",FALSE,NA,unknown,2019
2019-12-09,Data Analyst,"Austin, TX, USA","96,000",Ecommerce Software,"Liberal Arts Master's Degree, also a night bootcamp (during second job",Mid Size Web Company* Start up,None,Nothing recurring,"96,000Most common tools are SQL, Excel, Python, Tableau/Looker/whatever BI. There's also some light data engineering with Airflow, and light data science, but not really",FALSE,2.5,years,2019
2019-12-09,Senior Data Scientist,"San Francisco Bay Area, CA, USA",180K,Tech,BA Economics,NA,es:** 35K,s/15% Bonus* **Relocation/Sign-On Bonus:** 25k,240k (without relocation/sign-on,FALSE,1.5,years,2019
2019-12-09,Lead Data Engineer,"Toronto, ON, Canada",130k,Banking,Some college,"25yrs overall, ~8 in data engineering",40k,30k/yr RSU,180k,FALSE,1,years,2019
2019-12-09,Researcher,"New York, NY, USA",200k,Tech,Master's,NA,NA,35k RSU/$40k bonus,275k,FALSE,5,years,2019
2019-12-09,Pharmacy Informatics Analyst,"Columbus, OH, USA",101500,Healthcare,"BS in C.I.S, Associate in Nursing, currently in master's for data analytics","2 years data analyst, 8 years Epic builder, 2 years RN, 5 years management"" Certs: 4 Epic Certifications (gold in healthcare industry",none,none,101500,FALSE,6,months,2019
2019-12-09,NA,"San Francisco, CA, USA",170K,Tech (YouTube,NA,NA,NA,Vest: 130K* Bonus: ~10% of base,320K,FALSE,NA,unknown,2019
2019-12-09,Data Scientist,"San Francisco, CA, USA","115,000",SaaS,Bachelor's,Internship:** Internship at current company,es:** if the,"price doesn't move, it'll be \~$30,000 in options (strike price subtracted) over 4 years","122,000",FALSE,2,years,2019
2019-12-09,Data Scientist,"San Francisco Bay Area, CA, USA",NA,NA,NA,NA,0,"bonus: $25,000","475,000",FALSE,1,years,2019
2019-12-09,Senior Data Scientist,"Washington, DC, USA",121k,Finance,PhD,"1 Year, Senior DS",15k,3-5% Base,125k,FALSE,1,years,2019
2019-12-09,Data Scientist,"New York, NY, USA",80K,Fintech,BA Econ,"1 year as data analyst, different industry",0,15,90K,FALSE,1,years,2019
2019-12-09,NA,United States,85k,Finance,Science and math heavy bachelors,2 years. I got lucky the position essentially allowed me to learn full time working under a post doc,5k,1200* **Total comp:** ~86k~3.5 months,"86k~3.5 months total PTO including holidays, 7% matching, strong healthcare, and a bunch of other random stuff.My title does not reflect my work at all. I basically manage the entire data pipeline and architecture for hundreds of people",FALSE,NA,unknown,2019
2019-12-09,Business Analyst,"Kansas City, MO, USA",43k,Warehousing,Unrelated Bachelors,NA,NA,2-5k,"45-47kI manage software systems designed by another company and create reports and spreadsheets using crystal reports and excel. I also manage financials and billable from our company and manage all of the training for office workers across our warehouse system for anything regarding tech. Because it is a start up, I am the designated tech person for everything from data to integrations to hardware. Been a fun ride. I dont have much in the way of experience, but am the most experience person in my company at what I do, so the job is entry level with a twist. I am hoping to get a 20% raise or job upgrade once I have some experience and proven skills under my belt",FALSE,1,years,2019
2019-12-09,Senior Consultant - Data Scientist,"Washington, DC, USA","115,000",Technology Consulting,"B.S, Mechanical Engineering",Consultant - Data Analyst at Accenture for \~ 3 years   * **$Internship:** Worked with a Professor and his grad students in a microfabrication lab doing nanotech stuff for a summer in college   * **$Coop:** N/A,N/A,"Will find out soon after appraisals are done (heard good things about the bonus, \~8-10k",Salary + annual bonus (performance + tenure,FALSE,1,years,2019
2019-12-09,Business Analyst I,"Chicago, IL, USA","59,000 (+ $11k benefits",Large tech company,"BA (Global Studies), self-taught SQL/Python",n/a (3 prior sales roles,n/a,"10,000","80,000edit- formatting",FALSE,6,months,2019
2019-12-09,BI Analyst,"Chicago, IL, USA",48K,Logistics &amp; Supply Chain,BS,NA,NA,N/A,"48kCurrently taking over the analytics dept. for the operations side of the company. Severely underpaid, but the opportunities are here",FALSE,1,years,2019
2019-12-09,Data Scientist,"South Florida, FL, USA",80k,B2B Logistics,MS Econ in USA,1 year as a Data Scientist,2k,NA,80k,FALSE,1,years,2019
2019-12-09,Data Analyst,"Chicago, IL, USA",60k,Marketing,Bachelors in Mech Eng from an Ivy,NA,NA,NA,NA,FALSE,1,years,2019
2019-12-09,Analytics Manager,"Seattle, WA, USA",110k,Tech,Math Undergrad Degree,NA,NA,20k Bonus,"130kStarted as an analyst, then lead a small team when consulting. Now manage 7 person team after I went full time for my client. Expecting a promotion at the end of this year or will find one in the market. Targeting around 160k based on what I do and what others in similar roles make I know, as my work had expanded a lot but not my title or pay in the last year",FALSE,1,years,2019
2019-12-09,Reporting Analyst,"Chattanooga, TN, USA","58,000",Insurance,"B.S. (political science), just started MS Analytics",none,,5% annual bonus,60kExcel reporting and tableau mostly,FALSE,2,years,2019
2019-12-09,Research Investigator,United States,"117,000",Top 10 pharmaceutical company,"Ph.D. Bioinformatics, BS Computer Science",One summer internship as an undergrad at a biotech company plus relevant research experience during my PhD,"Relocation totally handled, but I'm on the hook to pay it back if I leave within 2 years","8% bonus target per year, plus company- and personal-performance multipliers",125-130k,FALSE,1.2,years,2019
2019-12-09,Senior Data Scientist,"London, UK",45000,MLaaS platform -&gt; Banking (after startup exit few months ago,"BSc Physics, MSc Artificial intelligence (in progress, company funded",3 month internship (at same company,"es:  upto 10% cash, upto 15",,"approx £55k - £60k, add 10k if you include pension/funded mastersShould probably add benefits/other info to help compare:28 days paid vacation  8% pension, no contribution, no employer match afterwards  Paid for AI masters, and paid time off to study it part time  180k life assurance  50% salary protection for 5y (illness/disability)  Paid accomodation and expenses if you bring partner along on business trips  Private dental/optical/health for me/wife/kids (though UK has NHS anyway)  35 Hour workweek  Semi flextime, remote work occasionally  1 hour commute",FALSE,2.5,years,2019
2019-12-09,Research Associate,"West Coast, USA",55k,Education Contractor,ContractorEducation: Masters degrees in psych and applied stats,None,n/a,no idea yet,"55kThe only other person with any background in statistics or programming quit last weeks, so I'm their go-to data guy",FALSE,3,months,2019
2019-12-09,senior analyst,"Seattle, WA, USA",NA,NA,NA,NA,NA,NA,ensation: ~100k,FALSE,NA,months,2019
2019-12-09,Data Scientist I,"New York, NY, USA",95k,Nonprofit,MS Business Analytics,10 years of highly quantitative market research   * **$Internship:** Summer internship during MS with Large Online Retailer's DS team,none,possible profit-sharing,100k,FALSE,1,years,2019
2019-12-09,Data Scientist/People Analytics/Human Capital,"New York, NY, USA","145,000",Fortune 50 - Global Tech Company/ HR Analytics,B.Sc. Sociology '13 * M.A. Cognitive Science '15 * M.Sc. Learning Analytics '16 * Ph.D. Cognitive Science (ABD/Current Student - PT) '2020,Systems Administration ~6yrs * Instructional Design ~2yrs * Ad-Tech Data Science/Research ~2yrs * Ed-Tech Data Science/Research ~2yrs (Most recent,es:** * 6% 401k Match * 15% discount,options purchase plan * performance bonus &lt;= 10% YS * **Remote WFH 3 Days/Week*** **Attire:** Buisness/Professional,"170,000 (USD",FALSE,NA,months,2019
2019-12-09,Data Scientist,"New York, NY, USA",175k,generic tech startup,MS,6 years of DS and analytics stuff,,options with E(X) = 0,183k,FALSE,NA,unknown,2019
2019-12-09,Principal Data Scientist,NA,"160k baseLocation: Fayetteville, Arkansas (work remotely",SaaS/Tech,PhD,NA,NA,Bonus: Shares each year (private company) worth about \~$30k/yr at current valuation &amp; $15k/yr in bonuses,205k/yr,FALSE,1.5,years,2019
2019-12-09,Data Scientist,"North Carolina, USA",100k,Healthcare,MS,None   * **$Internship** Three relevant summer internships,lol,2k,102k,FALSE,2,years,2019
2019-12-09,Sr Analytics Consultant,Canada,CAD 80-85K,Consulting (Digital,Economics BA,NA,NA,NA,NA,FALSE,2,years,2019
2019-12-09,Data Scientist,"Seattle, WA, USA",NA,NA,NA,NA,NA,NA,NA,FALSE,1.5,years,2019
2019-12-09,Head Scientist,"San Francisco, CA, USA",120k,Tech Startup,PhD,NA,NA,TBD,120k,FALSE,6,months,2019
2019-12-09,Data Analyst,"Sacramento, CA, USA","54,000",Academia,B.S. (Math,4 years doin' other stuff,n/a,n/a,"54,000 (?)Modeling/Tableau jockey. looking at everyone else's pay makes me want to die",FALSE,13,months,2019
2019-12-09,Data Analyst II,"Dallas, TX, USA","85,000",Pharmaceutical distribution,Something worse than a liberal arts degree,2 small startups,n/a,up to 8% bonus per year,"92,000Mostly work with programmers to acquire data from clients. Not hard work, but get to do a lot of programming in SQL and create my own Python applications whenever I want. My boss loves when I make our lives easier",FALSE,3,years,2019
2019-12-09,"Director, Data Science","New York, NY, USA",230k,Tech,PhD,NA,NA,45k RSU / 50k Bonus,325k,FALSE,5,years,2019
2021-12-11,Senior Data Scientist Lead,"St. Louis, MO, USA","137,500",Large corporation in biotech/agrotech,PhD,Joined current employer directly out of grad school   * **$Internship:** 3 Summer Internships as Graduate Student,Full relocation costs + $5500,18% annual bonus (depends on company performance)   * 15% Long Term Incentive (4 year vest,"183,000",FALSE,8,years,2021
2021-12-11,Data Scientist,"Vancouver, BC, Canada",90K (CAD,Mid-size non tech,"PhD, Physics",2 years various part-time and contract DS/DA work,None,"10% profit sharing, ~10% performance bonus","108K (CAD, pro-rated)Edit: Jesus Christ I need to move to the US",FALSE,4,months,2021
2021-12-11,data scientist,"Illinois, USA","100k, 14% bonus",Caterpillar,NA,NA,NA,NA,NA,FALSE,NA,unknown,2021
2021-12-11,Senior Staff Data Scientist,"San Francisco Bay Area, CA, USA","240,000","Tech, not FAANG","MS in Mathematics, dropped out of a phd program after Masters","13 years, pretty much all of it in the Data / ML space","which translates to $72k, and ~$570k per year based on current valuation of",,882k per year,FALSE,3,years,2021
2021-12-11,Head of Machine Learning,Germany,"120,000",Startup,PhD,"2 years DS, 2 years lead DS",no,"20,000 yearly bonus","140,000",FALSE,1,years,2021
2021-12-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,unknown,2021
2021-12-11,Sr Product Analyst,"San Francisco Bay Area, CA, USA",180K,YouTube* **Level**: L5,PhD (Pure Math,NA,30K* **Total comp:** $370K (granted stock)/$510K (vested,160K granted/$300K vested* **Annual Bonus:** $30K,370K (granted stock)/$510K (vested stock,FALSE,3.5,years,2021
2021-12-11,Process Data Scientist,"San Francisco, CA, USA",150k,Semiconductors,ChemE PhD,brief stint as a postdoc + 3.5 years as ChE,0,RSU comes out to ~20k/year and bonus is set to 20,"200kI self-studied data science/programming while working a basically dead-end job for PhD's. It took awhile, but I was able to finally transition into a role where I can simultaneously improve my DS skills and keep my domain expertise in ChemE. I feel fortunate to be where I am at this stage of my career and am learning as much as I can each day",FALSE,7,months,2021
2021-12-11,Decision Scientist,"Denver, CO, USA","100,000",Late stage tech startup,MA Economics,"7.5 years at a marketing agency, 5 as QA/SWE, 2.5 as data scientist   * **$Internship:** 1 summer internship as front end dev",depends on company performance,options (4 year monthly vesting) worth ????   * $2500 annual lifestyle spending stipend   * ~$1000 in yearly spot bonuses,"130,000",FALSE,8,months,2021
2021-12-11,AI Engineer,"London, UK","50,000",Consulting (Gov,"MSc Software Development, BEng Mechanical Engineering",NA,NA,NA,"50,000",FALSE,3,months,2021
2021-12-11,Data Scientist,"San Francisco Bay Area, CA, USA",160k,FAANG,BS+MS,"1y, non-FAANG, non-DS",es**:  \~$190k/yr,"after appreciation, \~20% annual bonus","390kRemember, this thread suffers from tremendous voluntary response bias",FALSE,2,years,2021
2021-12-11,"Data Scientist, soon to be ML Engineer","Philadelphia, PA, USA","80,000 -&gt; TBD",Health Tech startup,"BS Computational Data Science, Minor in Statistics",2.5 YoE - **$Internship:** ML Engineer at industrial analytics company,N/A,lt; 0.4% amounting to $7000,"87,000Current position title is likely to change as I am a Data Scientist in name only and ML Engineer is the best description.Compensation will change as I have initiated a renegotiation as a result of excellent performance review, increasing responsibilities, and below market salary",FALSE,1,years,2021
2021-12-11,Director of Data Science,"Minnesota, USA","185,000",Health/Wellness,PhD,NA,NA,15% bonus   * $10k incentive   * Company RSUs,"200,000",FALSE,1,years,2021
2021-12-11,Senior Data Scientist,"New York, NY, USA",NA,NA,BA Poli Sci,NA,NA,297k RSUs (publicly traded company) yearly,502k,FALSE,1,years,2021
2021-12-11,Sr Data Analyst,"Ohio, USA",110k,SAS~~ SaaS Startup,Bachelors in Mathematics,DA/BI/DS Entry to Managerial   * **$Internship** N/A   * **$Coop** N/A,es,Begins vesting after 1 year,110k,FALSE,5,years,2021
