property_name,areaWithType,square_feet,transaction,status,floor,furnishing,facing,description,price_per_sqft,price
3 BHK Apartment for Sale in Godadara Surat,Super Area,1500 sqft,Resale,Ready to Move,8 out of 14,Unfurnished,East,main road buliding godadara area top building near midas square,"₹3,667 per sqft ",₹55 Lac 
3 BHK Apartment for Sale in Pal Surat,Super Area,1950 sqft,New Property,Ready to Move,5 out of 12,Unfurnished,East,pal galaxy circle adajan to gauravpath road,"₹4,308 per sqft ",₹84 Lac 
"2 BHK Apartment for Sale in Santvan Newon, Palanpur Surat",Super Area,1251 sqft,Resale,Ready to Move,5 out of 13,Semi-Furnished,South -West,2BHK Luxurious Flat For Sell In Palanpur Prime Area with New Construction.for amore details please contact.Read more,"₹4,556 per sqft ",₹57 Lac 
2 BHK Apartment for Sale in Adajan Surat,Carpet Area,720 sqft,Resale,Ready to Move,9 out of 12,Furnished,East,,"₹4,308 per sqft ",₹56 Lac 
"3 BHK Apartment for Sale in Nakshatra Galaxia, Palanpur Surat",Super Area,1857 sqft,New Property,Poss. by Dec '24,10 out of 13,Unfurnished,East,"3 BHK flat for sale in Nakshatra Galaxia, Palanpur,Surat. Project By Happy Home GroupRead more","₹3,800 per sqft ",₹70.6 Lac 
3 BHK Apartment for Sale in Pal Surat,Super Area,1850 sqft,New Property,Poss. by Mar '25,7 out of 13,Unfurnished,East,,"₹4,651 per sqft ",₹86 Lac 
3 BHK Apartment for Sale in Mantra Hights Surat,Super Area,1850 sqft,Resale,Ready to Move,3 out of 12,Furnished,East,Mantra Hights,"₹5,027 per sqft ",₹93 Lac 
3 BHK Apartment for Sale in Dumas Road Surat,Super Area,2164 sqft,New Property,Poss. by Dec '25,7 out of 12,Unfurnished,East,,"₹4,321 per sqft ",₹93.5 Lac 
1 BHK Villa for Sale in Palanpur Surat,Super Area,106 sqyrd,Unfurnished,Ready to Move,Resale,East,"Garden/Park, Main Road",Luxurious Row House For Sell In Surat Prime Location With All Aminities.Read more,"₹8,910 per sqft ",₹85 Lac 
  Plot/Land for Sale in Dandi Road Surat,Plot Area,900 sqft,5,Freehold,Resale,2,20 m,,"₹7,444 per sqft ",₹67 Lac 
"3 BHK Apartment for Sale in Divine Desire, Palanpur Surat",Super Area,1522 sqft,New Property,Ready to Move,5 out of 13,Unfurnished,East,4BHK luxurious flats for sell in Palanpur Prime Area,"₹4,001 per sqft ",₹60.9 Lac 
"2 BHK Apartment for Sale in Shreepad Panorama, Palanpur Gam Surat",Super Area,1299 sqft,Resale,Ready to Move,9 out of 11,Semi-Furnished,East,,"₹4,311 per sqft ",₹56 Lac 
2 BHK Apartment for Sale in Pal Gam Surat,Carpet Area,830 sqft,Resale,Ready to Move,11 out of 12,Semi-Furnished,East,"Full Interior on flat,main road campus,all market near by area,all public transport is available at the building campus gate.Read more",,₹55 Lac 
3 BHK Apartment for Sale in Anand Mahal Road Surat,Super Area,1850 sqft,Resale,Ready to Move,1 out of 7,Furnished,East,3bhk Fully FURNISHED,"₹3,784 per sqft ",₹70 Lac 
3 BHK Apartment for Sale in Palanpur Surat,Super Area,2255 sqft,New Property,Ready to Move,6 out of 13,Unfurnished,South -West,3 BHK Luxurious Flat For Sell In Palanpur Prime Area With All Aminities .Contact for More Details .Read more,"₹3,459 per sqft ",₹78 Lac 
3 BHK Apartment for Sale in Vesu Surat,Carpet Area,867 sqft,New Property,Ready to Move,7 out of 13,Unfurnished,North - East,Luxurious 3 Bhk Flat For Sell with All Modern amenities.,"₹4,822 per sqft ",₹76 Lac 
"3 BHK Apartment for Sale in Sun Sarvam, Vesu Surat",Super Area,2060 sqft,New Property,Poss. by Nov '24,5 out of 7,Unfurnished,East,"Sun sarvam appt is one of surats most sought after destination for apartments and this 3 bhk flat in vesu is your opportunity to be a part of this community. This is a northFacing property. The floor plan additionally contains 3 bedrooms, 3 bathrooms and 1 balcony. All in all, the flat is spread over a super built up area of 1925 sq.Ft. The flat has a total of 7 floors and this property is situated on 5th floor. This residential flat is currently under construction and you can expect the possession of the same by november 2024. The beautifully designed granite flooring enhances the beautyRead more","₹4,440 per sqft ",₹91.5 Lac 
"2 BHK Apartment for Sale in Nandini 3, Vesu Surat",Super Area,1283 sqft,Resale,Ready to Move,4 out of 8,Furnished,South -West,,"₹5,066 per sqft ",₹65 Lac 
"3 BHK Apartment for Sale in Anand Avenue, Jahangirabad Surat",Super Area,1620 sqft,New Property,Ready to Move,11 out of 14,Unfurnished,East,3 BHK Flat for Sell In Jahangirabad Prime Area With Almost New ConstructionRead more,"₹3,580 per sqft ",₹58 Lac 
2 BHK Apartment for Sale in Althan Surat,Super Area,1275 sqft,New Property,Poss. by Oct '25,5 out of 12,Unfurnished,East,2 BHK Luxurious Flat For Sell In Althan Prime Area With All AMinities .Read more,"₹3,991 per sqft ",₹50.9 Lac 
"3 BHK Apartment for Sale in Times Luxuria, Vesu Surat",Carpet Area,1179 sqft,Resale,Ready to Move,11 out of 12,Unfurnished,East,Ready to move 3BHK apartment with all modern amenities in campus and Jain TempleRead more,"₹4,620 per sqft ",₹99 Lac 
"3 BHK Apartment for Sale in Nakshatra Nebula, Jahangirabad Surat",Super Area,1609 sqft,Resale,Ready to Move,1 out of 13,Semi-Furnished,East,"this is 2 bhk semi furnished Flat. bed,wardrobe, Kitchen cupboards  light, fan.Read more","₹3,543 per sqft ",₹57 Lac 
"4 BHK Apartment for Sale in Blue Bells, Jahangir Pura Surat",Carpet Area,1495 sqft,Resale,Ready to Move,7 out of 13,Unfurnished,East,this is the fully furnished flat with all amenities. it has all  elecronic items  and luxuries interior .Read more,"₹3,696 per sqft ",₹85 Lac 
"3 BHK Apartment for Sale in Swagat Callista, Bamroli Surat",Super Area,1811 sqft,New Property,Ready to Move,6 out of 14,Unfurnished,South - East,Luxurious Flat For Sell With All Luxurious Aminities .More Details Please Contact.Read more,"₹3,589 per sqft ",₹65 Lac 
"3 BHK Apartment for Sale in White Wings Flamingo, Bhimrad Surat",Carpet Area,1250 sqft,Resale,Ready to Move,11 out of 12,Unfurnished,East,The Property is Easily connected to All the Basic Needs and It just 300 Mtrs away From Metro Station and 2 Km away from Diamond Bourche above this over all  comunity in this society are mixed and very friendly all the festivals are celebrated very joyfullRead more,"₹4,869 per sqft ",₹95 Lac 
"3 BHK Apartment for Sale in Pramukh Amaya, Palanpur Surat",Super Area,1811 sqft,Unfurnished,Poss. by Dec '24,New Property,Pramukh Amaya,3,"Multistorey Apartment for Sale in Palanpur, Surat. Covered area is 1811.0  Sq-ft. This property belongs to ""Pramukh Amaya"" .Read more","₹4,251 per sqft ",₹77 Lac 
"3 BHK Apartment for Sale in Pramukh Amaya, Palanpur Surat",Super Area,2111 sqft,Unfurnished,Poss. by Dec '24,New Property,Pramukh Amaya,3,"Multistorey Apartment for Sale in Palanpur, Surat. Covered area is 2111.0  Sq-ft. This property belongs to ""Pramukh Amaya"" .Read more","₹4,251 per sqft ",₹89.7 Lac 
3 BHK Apartment for Sale in Pal Surat,Carpet Area,1035 sqft,New Property,Poss. by Jun '25,9 out of 14,Unfurnished,East,,"₹4,600 per sqft ",₹86.5 Lac 
3 BHK Apartment for Sale in Jahangirabad Surat,Super Area,1800 sqft,New Property,Poss. by Mar '26,6 out of 14,Unfurnished,East,"This luxurious yet affordable 3 BHK flat is uniquely positioned at the corner of two main roads, offering excellent visibility and accessibility. The standout feature is its spacious deck balcony, providing ample outdoor space for relaxation and entertainment. Enjoy the perfect combination of luxury, affordability, and convenience in this welldesigned residence.Read more","₹3,300 per sqft ",₹59.4 Lac 
2 BHK Apartment for Sale in Dumas Road Surat,Super Area,1345 sqft,New Property,Poss. by Mar '25,6 out of 12,Unfurnished,South -West,2 bhk luxurious flat for sell in dummas road with all luxurious aminities.Read more,"₹4,500 per sqft ",₹60.5 Lac 
  Plot/Land for Sale in Jahangirabad Surat,Plot Area,900 sqft,Congo,Freehold,Resale,2,12 m,,"₹10,556 per sqft ",₹95 Lac 
3 BHK Villa for Sale in Dindoli Surat,Carpet Area,1520 sqft,Unfurnished,Poss. by Aug '24,New Property,East,"Garden/Park, Main Road",elevation,,₹58 Lac 
"3 BHK Apartment for Sale in Veer Swastik Sky, Pal Surat",Super Area,1881 sqft,New Property,Poss. by Apr '25,7 out of 13,Unfurnished,South -West,3 And 4 BHK Luxurious Flat For Sell In Pal Prime Location With All Aminities .Read more,"₹4,575 per sqft ",₹86.1 Lac 
"3 BHK Apartment for Sale in Shree Mega Royal, Adajan Surat",Super Area,1755 sqft,Resale,Ready to Move,3 out of 12,Unfurnished,East,Center of city Best location and Best Project,"₹5,698 per sqft ",₹100 Lac 
3 BHK Apartment for Sale in Pal Surat,Carpet Area,950 sqft,New Property,Poss. by Dec '24,4 out of 14,Unfurnished,East,"this is ready to go up a notch in sophistication as you quench your desire for all things unique with amenities like Earth quake standards Structural design, Power Backup, Special take in construction and Ample light in day time. With easy access to the all transports means, this is strictly for those who want to live it up. This multi storied building with its exclusive apartments is the perfect home and business place for the choicest few in the name of Shiva.Read more","₹3,999 per sqft ",₹61.7 Lac 
3 BHK Apartment for Sale in Jahangirabad Surat,Carpet Area,1021 sqft,New Property,Poss. by Jul '25,3 out of 3,Unfurnished,East,"For those looking to buy a residential property, here comes one of the choicest offerings in Surat, at Jahangirabad. This is among the newest addresses for homebuyers. This is an underconstruction project right now, and is expected to be delivered by Jul, 2025. It has a variety of options to choose from that too in a varied budget range.Read more","₹3,800 per sqft ",₹70.6 Lac 
3 BHK Apartment for Sale in Pal Surat,Super Area,1900 sqft,Unfurnished,7 out of 13,New Property,East,"Garden/Park, Main Road","No brokerage on this property, All flats are Garden or Road facing, An excellent residential project situated at a prime location of Pal, Attractive payment terms available. For more details feel free to contact usRead more","₹4,550 per sqft ",₹86.5 Lac 
"3 BHK Apartment for Sale in Madhav Opulence, Pal Surat",Super Area,1891 sqft,New Property,Poss. by Sep '24,5 out of 13,Unfurnished,North - East,"Located in the popular residential address of pal, surat, madhav opulencepal is one of the most preferred destination for apartments in surat. This 3 bhk flat is your ticket to be a part of this community. Containing 3 bedrooms, 3 bathrooms and 1 balcony, this flat is spread over a super built up area of 1891 sq.Ft. This flat is situated on the 5th floor of this 13 floors tall residential building. Moreover, the flat is currently under construction and possession is expected by may 2024.Read more","₹4,750 per sqft ",₹89.8 Lac 
"2 BHK Apartment for Sale in Nakshatra Galaxia, Palanpur Surat",Carpet Area,951 sqft,Resale,Ready to Move,15 out of 15,Unfurnished,South -West,No Rate extended of Registrations charges,"₹3,846 per sqft ",₹51 Lac 
3 BHK  House for Sale in Dindoli Surat,Carpet Area,1600 sqft,New Property,Ready to Move,Ground out of 2,Unfurnished,North - East,"Residential house is available for sale. It has carpet area 1600 sq-ft, it is 3 BHK house, has total 2 floor facing North-East direction.Read more",,₹58 Lac 
3 BHK Apartment for Sale in Peak Living Surat,Super Area,1994 sqft,Resale,Ready to Move,5 out of 14,Unfurnished,South -West,South West Direction FlatReasonable Price and Very Easy Payment Schedule2Cars Allotted ParkingMain Road Location FlatNo CommercialRead more,"₹4,444 per sqft ",₹88.6 Lac 
3 BHK Apartment for Sale in Bamroli Surat,Carpet Area,930 sqft,Unfurnished,Ready to Move,New Property,East,Main Road,Beautifully Constructed 3 BHK Flat in Althan,"₹4,100 per sqft ",₹67.8 Lac 
3 BHK Apartment for Sale in Althan Surat,Super Area,1757 sqft,New Property,Poss. by Aug '24,6 out of 13,Unfurnished,East,3 BHK Luxurious Flat For Sell In New Althan Area With All Aminities .Read more,"₹3,682 per sqft ",₹64.7 Lac 
"3 BHK Apartment for Sale in Swapnabhoomi, Vesu Surat",Super Area,1962 sqft,New Property,Ready to Move,10 out of 13,Unfurnished,East,"This enchanting piece of architectural excellence spread in the massive expanse of 1,29,532.9 sq.ft. has been christened as Swapnabhoomi  3 BHK spaces contained in 13 storey 8 magnificent towers and 1962  2152 sq.ft. offering glimpses of exquisite life.  A lifestyle promising fine amalgamation of class, convenience and comfort is located at Vesu and is securely connected with all the major landmarks of the city.Read more","₹5,097 per sqft ",₹1 Cr 
"3 BHK Apartment for Sale in Raghuvir Spectrum, Vesu Surat",Super Area,1775 sqft,New Property,Ready to Move,5 out of 14,Unfurnished,South -West,"Project is well planned in this small sq ft with all the amenities inside the campus , developing location of vesu area.Read more","₹5,100 per sqft ",₹90.5 Lac 
"  Shop for Sale in Aagam Vivianna, Vesu Surat",Carpet Area,200 sqft,Resale,Ready to Move,Ground out of 4,1 Open,,Aagam Vivianna is premium mall of Vesu area. It has more than 200 shops and average footfall is 7000 per day. It also has multiplex theatre.Proposed shop is 400 sq.ft and has strategic location in the mall.Read more,"₹14,500 per sqft ",₹58 Lac 
"3 BHK Apartment for Sale in Eco Parkside, Bhimrad Surat",Carpet Area,943 sqft,Resale,Poss. by Jul '24,6 out of 13,Unfurnished,East,This appartment is naturs address 4 side open project lovely campus and environmentalpeacefull locationeverything is includeddastavejsale deedstamp duty all expanses are included...Read more,"₹4,898 per sqft ",₹84 Lac 
"3 BHK Apartment for Sale in Divine Desire, Palanpur Surat",Carpet Area,961 sqft,Resale,Ready to Move,5 out of 14,Unfurnished,East,Road view property,"₹4,100 per sqft ",₹67.9 Lac 
3 BHK Apartment for Sale in Godadara Surat,Super Area,1850 sqft,Resale,Ready to Move,10 out of 12,Unfurnished,East,godadara near midas square comlex main road,"₹5,135 per sqft ",₹95 Lac 
3 BHK Apartment for Sale in Palanpur Surat,Carpet Area,960 sqft,New Property,Ready to Move,6 out of 13,Unfurnished,East,fire station palanpor gam new gaurav path road,"₹4,500 per sqft ",₹72 Lac 
3 BHK Apartment for Sale in Adajan Surat,Super Area,1650 sqft,New Property,Ready to Move,13 out of 14,Unfurnished,North,,"₹3,818 per sqft ",₹63 Lac 
3 BHK Apartment for Sale in Pal Surat,Super Area,1811 sqft,New Property,Poss. by Mar '25,6 out of 13,Unfurnished,East,,"₹4,751 per sqft ",₹86 Lac 
"2 BHK Apartment for Sale in Swagat Clifton, Bhimrad Surat",Super Area,1252 sqft,Resale,Ready to Move,5 out of 14,Unfurnished,East,Swagat Clifton,"₹4,073 per sqft ",₹51 Lac 
"2 BHK Apartment for Sale in Vaishnodevi Amour Jahagirabad, Jahangirabad Surat",Super Area,1258 sqft,New Property,Ready to Move,8 out of 13,Furnished,East,"2 Bhk Fully Furnished Flat On saleNew Construction And Ready To Move PropertyFully Furnished With ElectronicsMain Road PropertyPrime LocationNear by Mall, School, Collage, Super StoreEverything Is Near by Walking Distance Call Us For More Details And VisitRead more","₹4,102 per sqft ",₹51.6 Lac 
1 BHK Villa for Sale in Palanpur Surat,Super Area,72 sqyrd,Unfurnished,Ready to Move,Resale,East,"Garden/Park, Main Road",1 BHK Row House For Sell In Palanpur Area .,"₹10,031 per sqft ",₹65 Lac 
  Plot/Land for Sale in Dandi Road Surat,Plot Area,990 sqft,5,Freehold,Resale,2,20 m,,"₹6,869 per sqft ",₹68 Lac 
"3 BHK Apartment for Sale in Shubham Pearl, Palanpur Surat",Super Area,1775 sqft,New Property,Poss. by Jun '25,5 out of 13,Unfurnished,East,4 bhk luxurious,"₹3,803 per sqft ",₹67.5 Lac 
"3 BHK Apartment for Sale in Gothic Heritage, Pal Gam Surat",Super Area,1660 sqft,Resale,Ready to Move,9 out of 13,Semi-Furnished,East,,"₹3,614 per sqft ",₹60 Lac 
3 BHK  House for Sale in Pal Gam Surat,Super Area,78 sqyrd,Resale,Ready to Move,1 out of 1,Furnished,West,"Fixed furnished house for sell in pal area::::ground floor one room, hall, kitchen, wash area and first floor two master bedroom, storeroom, passage, single gate societyRead more","₹13,533 per sqft ",₹95 Lac 
3 BHK Apartment for Sale in Anand Mahal Road Surat,Super Area,1820 sqft,Resale,Ready to Move,7 out of 7,Furnished,East,,"₹3,846 per sqft ",₹70 Lac 
2 BHK Apartment for Sale in Palanpur Surat,Carpet Area,650 sqft,New Property,Ready to Move,5 out of 13,Unfurnished,East,"Good Location Flat On Palanpur Gauravpath Road, New Ready Possession Building.Read more","₹4,365 per sqft ",₹52.5 Lac 
3 BHK Apartment for Sale in Althan Surat,Carpet Area,1037 sqft,New Property,Ready to Move,5 out of 13,Unfurnished,North - East,"Luxurious 3 bhk Flat For Sell in Althan, Near Metro Station","₹4,090 per sqft ",₹77.1 Lac 
"2 BHK Apartment for Sale in The Ultima, Vesu Surat",Super Area,1300 sqft,New Property,Ready to Move,5 out of 13,Unfurnished,East,"The beautifully 2bhk designed granite flooring enhances the beauty of the flat. Moreover, this property offers close proximity to important landmarks such as close to mall, , and close to school. Many of the modern amenities being offered, like swimming pool, cctv surveillance, club house  community center, fitness centre  gym, park, lifts, maintenance staff and visitor parking, will provide a pleasant living experience for you. This residential project ensures a 247 water supply for its residents.Read more","₹4,800 per sqft ",₹62.4 Lac 
"3 BHK Apartment for Sale in Vesu Point, Vesu Surat",Carpet Area,970 sqft,Resale,Ready to Move,6 out of 12,Furnished,East,"Property is available in prime location. Road Touch property. All basic requirement like Market, Malls, Schools, Hospitals, Airport, Cinemas etc, are available near by the project. This will become your right choice.Read more","₹5,538 per sqft ",₹90 Lac 
"2 BHK Apartment for Sale in Orchid Gardenia, Palanpur Surat",Super Area,1180 sqft,Resale,Ready to Move,9 out of 13,Furnished,East,Best for jain locality.,"₹5,000 per sqft ",₹59 Lac 
2 BHK Apartment for Sale in Althan Surat,Super Area,1280 sqft,New Property,Poss. by Oct '25,6 out of 12,Unfurnished,East,2 BHK Luxurious Flat For Sell In Althan Prime Area With All AMinities .Read more,"₹3,977 per sqft ",₹50.9 Lac 
"2 BHK Apartment for Sale in Veer Swastik Heights, Pal Surat",Super Area,1275 sqft,New Property,Ready to Move,11 out of 13,Unfurnished,East,"this is 2 bhk semi furnished Flat. bed,wardrobe, Kitchen cupboards  light, fan.Read more","₹4,314 per sqft ",₹55 Lac 
"3 BHK Apartment for Sale in Shiv Samarth II, Pal Surat",Carpet Area,911 sqft,New Property,Ready to Move,8 out of 15,Unfurnished,East,This is 3 bhk flat for sale. All basic amenities are available hereRead more,"₹4,162 per sqft ",₹75 Lac 
"3 BHK Apartment for Sale in Shikhar Heights, Althan Surat",Super Area,1725 sqft,New Property,Ready to Move,11 out of 13,Furnished,South - East,Luxurious Flat For Sell With All Luxurious Aminities .More Details Please Contact.Read more,"₹4,928 per sqft ",₹85 Lac 
"2 BHK Apartment for Sale in Ratna Shyam Residency, Althan Surat",Super Area,1350 sqft,Resale,Ready to Move,8 out of 11,Furnished,South -West,,"₹4,593 per sqft ",₹62 Lac 
3 BHK Apartment for Sale in bhavyaraj florida Surat,Carpet Area,1006 sqft,Resale,Poss. by Jan '25,6 out of 14,Unfurnished,East,,"₹4,050 per sqft ",₹74.1 Lac 
3 BHK Apartment for Sale in Pal Gam Surat,Super Area,1649 sqft,New Property,Poss. by May '25,5 out of 13,Unfurnished,East,"This affordable 3 BHK flat is situated along a 200foot road, ensuring easy access and connectivity. Enjoy the convenience of a prime location at a budgetfriendly price.Read more","₹3,400 per sqft ",₹56.1 Lac 
2 BHK Apartment for Sale in Dumas Road Surat,Super Area,1290 sqft,New Property,Poss. by Mar '25,6 out of 12,Unfurnished,South -West,2 bhk luxurious flat for sell in dummas road with all luxurious aminities.Read more,"₹4,500 per sqft ",₹58.1 Lac 
  Plot/Land for Sale in Jahangirabad Surat,Plot Area,810 sqft,Congo,Freehold,Resale,2,15 m,,"₹11,111 per sqft ",₹90 Lac 
4 BHK Villa for Sale in Dindoli Surat,Carpet Area,2052 sqft,Unfurnished,Poss. by Oct '24,New Property,East,Main Road,location,,₹71.5 Lac 
"3 BHK Apartment for Sale in Shilalekh Imperia, Pal Surat",Super Area,1745 sqft,New Property,Poss. by Apr '25,6 out of 13,Unfurnished,South -West,2 And 3 BHK Luxurious Flat For Sell In Pal Prime Area WIth All Aminities.Read more,"₹4,551 per sqft ",₹79.4 Lac 
2 BHK Apartment for Sale in Pal Surat,Carpet Area,720 sqft,New Property,Poss. by Feb '25,4 out of 14,Unfurnished,East,"With a pristine aura of simplicity, Santvan Excella is meant to transform the way you live. From quality to the infrastructure, theres class in all.Read more","₹4,400 per sqft ",₹58.7 Lac 
2 BHK Apartment for Sale in Palanpur Surat,Carpet Area,723 sqft,New Property,Poss. by May '25,6 out of 12,Unfurnished,East,"Luxurious Flat for Sell In Palanpur Prime Area with All Aminities.This Project ensures a coveted lifestyle and offers a convenient living. It offers facilities such as Gymnasium, RO Water System, Power Backup. For families with kids, there is Childrens Play Area, nearby apart from Swimming Pool. Sports enthusiasts can also make the most of Volleyball Court, Skating Rink, Basketball Court, Badminton Court, Cycling  Jogging Track. The property is equipped with Fire Sprinklers. There is 24x7 Security. It is a Gated Community.Read more","₹3,954 per sqft ",₹52 Lac 
2 BHK Apartment for Sale in Palanpur Surat,Super Area,1311 sqft,Unfurnished,5 out of 13,New Property,East,Garden/Park,"No Brokerage on this property. This is a luxurious high rise apartment situated in Palanpor, the building has the facilities available like garden, children play area, sitting area, Big club house, allotted car parking etc.Read more","₹4,251 per sqft ",₹55.7 Lac 
"3 BHK Apartment for Sale in Serenity Homes, Pal Surat",Super Area,1850 sqft,New Property,Poss. by Sep '25,5 out of 13,Unfurnished,East,"A beautiful 3 bhk apartment in pal, surat. The property is a part of Serenity Homes. It is a new property in a promising locality. This well It is located on the 1st floor. The property ownership is freehold type and has a super builtUp area of 1850. Ft. The price of the property is estimated at rs. And per unit area cost is at rs. 4651per sq. Ft. The apartment is new construction.Read more","₹4,651 per sqft ",₹86 Lac 
"3 BHK Apartment for Sale in Nakshatra Galaxia, Palanpur Surat",Carpet Area,1225 sqft,Resale,Ready to Move,5 out of 15,Unfurnished,South -West,No extension charges of Registrations,"₹3,716 per sqft ",₹69 Lac 
3 BHK  House for Sale in Dindoli Surat,Carpet Area,2000 sqft,Unfurnished,Ready to Move,New Property,North - East,"Garden/Park, Main Road",near g9  independent house,,₹65 Lac 
3 BHK Apartment for Sale in Althan Surat,Super Area,1777 sqft,Resale,Poss. by Aug '24,13 out of 14,Unfurnished,East,"2 Road Corner Project, Only 56Flats In The Campus.","₹4,240 per sqft ",₹75.4 Lac 
4 BHK Apartment for Sale in Bamroli Surat,Carpet Area,1255 sqft,Unfurnished,Ready to Move,New Property,East,Main Road,Beautifully Constructed 2 BHK Flat in Althan,"₹4,100 per sqft ",₹93.6 Lac 
2 BHK Apartment for Sale in Pal Surat,Carpet Area,707 sqft,New Property,Poss. by Dec '24,5 out of 14,Unfurnished,South -West,New project in pal2bhk 1285 sqft3bhk 1745 sqftWith dack balcony.All modern amenities...Read more,"₹4,475 per sqft ",₹57.5 Lac 
"2 BHK Apartment for Sale in Raghuvir Sheron, Vesu Surat",Super Area,1361 sqft,New Property,Poss. by Dec '25,5 out of 13,Unfurnished,South -West,"One the most prominent Location of Vesu Sarsana, Opp to Surat Daimond Bourse And very near to upcoming Metro Station, Very good investment opportunity, with all the amenities inside the project .Read more","₹5,143 per sqft ",₹70 Lac 
"2 BHK Apartment for Sale in Raghuvir Spectrum, Vesu Surat",Super Area,1625 sqft,New Property,Ready to Move,14 out of 14,Unfurnished,North,"Raghuvir Spectrum is a premium project by Raghuvir Builders. It is located at the fasted developing area of Vesu. The project has special 2BHK with open Terrace with spacious living room and 2 bedrooms. it also has 3 bathrooms for comfortable living. It also has amentias such as landscape party lawn, gazebo, amphitheatre and deck sitting.Read more","₹5,100 per sqft ",₹82.9 Lac 
"2 BHK Apartment for Sale in Raghuvir Sheron, Vesu Surat",Super Area,1361 sqft,New Property,Poss. by Oct '25,5 out of 13,Unfurnished,North - East,"Lavish 2 BHK appartment for sell in vesu , nice and superb elivation of building.luxurious enrty for appartment. good localityRead more","₹5,511 per sqft ",₹75 Lac 
"3 BHK Apartment for Sale in Suryam Square, Palanpur Surat",Carpet Area,790 sqft,New Property,Ready to Move,8 out of 12,Unfurnished,East,All flat road location,,Call for Price
3 BHK Apartment for Sale in Godadara Surat,Super Area,1948 sqft,New Property,Poss. by Jan '25,5 out of 13,Unfurnished,East,godadara area near raj icon main road buliding,"₹3,500 per sqft ",₹68.2 Lac 
3 BHK Apartment for Sale in Palanpur Surat,Carpet Area,960 sqft,New Property,Ready to Move,6 out of 13,Unfurnished,East,fire station palanpor gam new gaurav path road,"₹3,851 per sqft ",₹61.6 Lac 
4 BHK Apartment for Sale in Adajan Surat,Carpet Area,1600 sqft,Resale,Ready to Move,9 out of 10,Unfurnished,East,,"₹2,831 per sqft ",₹83.5 Lac 
"3 BHK Apartment for Sale in Santvan Seron, Palanpur Surat",Super Area,1861 sqft,New Property,Poss. by Aug '24,6 out of 13,Unfurnished,East,,"₹4,281 per sqft ",₹79.7 Lac 
"3 BHK Apartment for Sale in Happy Elegance, Vesu Surat",Super Area,1643 sqft,Resale,Ready to Move,11 out of 13,Unfurnished,East,Happy Elegance,"₹5,500 per sqft ",₹90.4 Lac 
2 BHK Apartment for Sale in Palanpur Surat,Super Area,1159 sqft,Resale,Ready to Move,6 out of 13,Unfurnished,East,2 BHK Fully Furnished Flat For Sell In Palanpur Prime Area With All Aminities .Read more,"₹4,745 per sqft ",₹55 Lac 
  Plot/Land for Sale in Dandi Road Surat,Plot Area,1080 sqft,5,Freehold,Resale,2,20 m,,"₹6,481 per sqft ",₹70 Lac 
"3 BHK Apartment for Sale in RAMESWARAM Ivaan, Palanpur Surat",Super Area,1825 sqft,New Property,Poss. by Feb '26,5 out of 13,Unfurnished,East,3BHK luxurious flats,"₹3,852 per sqft ",₹70.3 Lac 
"2 BHK Apartment for Sale in Shiv Digja, Pal Surat",Super Area,1251 sqft,Resale,Ready to Move,13 out of 15,Semi-Furnished,South -West,,"₹4,597 per sqft ",₹57.5 Lac 
3 BHK Apartment for Sale in Adajan Surat,Super Area,1550 sqft,Resale,Ready to Move,2 out of 9,Semi-Furnished,West,7 km away from Surat railway station300ft main road building,"₹4,194 per sqft ",₹65 Lac 
4 BHK Villa for Sale in Adajan Surat,Super Area,100 sqyrd,Furnished,Ready to Move,Resale,East,"Garden/Park, Main Road",4 bhk furnished row house for sell in adajan area with all aminities.Read more,"₹10,000 per sqft ",₹90 Lac 
  Plot/Land for Sale in Jahangir Pura Surat,Plot Area,91 sqft,Resale,4.55 X 20,Freehold,5,2,Open Plot For Sell In Jahangir Pura Area With Boundry Bounded And Gate Colony .Read more,"₹60,000 per sqft ",₹54.6 Lac 
"3 BHK Apartment for Sale in Raghuvir Shubh Residency, VIP Road Surat",Carpet Area,1128 sqft,Resale,Ready to Move,7 out of 11,Unfurnished,North - East,Altra Luxurious 3 Bhk Flat For Sell In Vesu,"₹5,053 per sqft ",₹95 Lac 
"3 BHK Apartment for Sale in The Ultima, Vesu Surat",Super Area,1646 sqft,New Property,Ready to Move,5 out of 13,Unfurnished,East,"The beautifully 3bhk designed granite flooring enhances the beauty of the flat. Moreover, this property offers close proximity to important landmarks such as close to mall, , and close to school. Many of the modern amenities being offered, like swimming pool, cctv surveillance, club house  community center, fitness centre  gym, park, lifts, maintenance staff and visitor parking, will provide a pleasant living experience for you. This residential project ensures a 247 water supply for its residents.Read more","₹4,800 per sqft ",₹79 Lac 
"3 BHK Villa for Sale in Rajhans Feriado, Dandi Road Surat",Super Area,123 sqyrd,Unfurnished,Ready to Move,Resale,West,Garden/Park,2 BHK flat near jalaram school palanpur cenal road,"₹6,052 per sqft ",₹67 Lac 
3 BHK Apartment for Sale in Althan Surat,Super Area,1811 sqft,New Property,Ready to Move,6 out of 12,Unfurnished,South - East,3 BHK Luxurious Flat For Sell In Althan Prime Area With All Aminities .For More Details Contact .Read more,"₹3,644 per sqft ",₹66 Lac 
